"cmaca","year","cases","recips","depchld"
"935",1995,205030,327604,103785
"935",1996,191531,307704,98623
"935",1997,175399,271897,82322
"935",1998,164196,247719,71207
"935",1999,156589,233000,64797
"935",2000,154249,226012,60992
"935",2001,151468,219029,57872
"935",2002,131589,186198,46832
"935",2003,110327,150274,34058
"935",2004,104461,137825,28272
"935",2005,100698,129865,24491
"935",2006,96351,121265,20667
"935",2007,100184,123976,19643
"935",2008,105288,129350,19954
"935",2009,115573,141829,21462
"935",2010,120722,147148,21487
"935",2011,123747,151060,22191
"935",2012,125499,152724,22420
"935",2013,129235,157117,23056
"935",2014,130386,158088,22617
"935",2015,131676,158853,22275
"935",2016,134914,163577,23989
"935",2017,137649,167797,25484
"935",2018,139684,170916,26363
"935",2019,144047,176967,27992
"935",2020,149287,183316,28979
"935",2021,151923,186333,29215
"935",2022,159152,196403,31617
"935",2023,165022,203956,33128
"935",2024,174297,216150,35778
"935",2025,59995,74540,12394
