"csdname","year","cases","recips","depchld"
"Abbotsford",1995,56763,108453,44205
"Abbotsford",1996,55689,107684,44752
"Abbotsford",1997,50222,94990,38642
"Abbotsford",1998,46451,86436,34633
"Abbotsford",1999,44988,82142,32167
"Abbotsford",2000,43490,79332,31225
"Abbotsford",2001,41125,73287,28042
"Abbotsford",2002,35894,61118,21901
"Abbotsford",2003,30217,48482,15746
"Abbotsford",2004,28701,44273,13279
"Abbotsford",2005,27812,41217,11445
"Abbotsford",2006,29023,41047,10127
"Abbotsford",2007,32164,44691,10603
"Abbotsford",2008,34781,48022,11220
"Abbotsford",2009,39142,54155,12493
"Abbotsford",2010,42259,58517,13564
"Abbotsford",2011,44555,62194,14960
"Abbotsford",2012,44371,62284,15446
"Abbotsford",2013,44901,63221,15746
"Abbotsford",2014,45812,63424,14994
"Abbotsford",2015,46994,64019,14477
"Abbotsford",2016,50330,68936,16035
"Abbotsford",2017,52482,73262,17896
"Abbotsford",2018,54324,75884,18653
"Abbotsford",2019,57683,80841,20088
"Abbotsford",2020,60792,84899,21037
"Abbotsford",2021,62328,87342,21859
"Abbotsford",2022,66707,94214,24064
"Abbotsford",2023,72017,103056,27167
"Abbotsford",2024,79393,115320,31103
"Abbotsford",2025,34917,50705,13555
