"csdname","year","cases","recips","depchld"
"Armstrong",1995,4697,9418,4000
"Armstrong",1996,4422,8538,3450
"Armstrong",1997,3879,7281,2845
"Armstrong",1998,3621,6553,2432
"Armstrong",1999,3284,5867,2162
"Armstrong",2000,3181,5552,1996
"Armstrong",2001,2546,4442,1608
"Armstrong",2002,2049,3376,1128
"Armstrong",2003,1808,2836,915
"Armstrong",2004,1784,2720,826
"Armstrong",2005,1676,2466,663
"Armstrong",2006,1496,2100,503
"Armstrong",2007,1621,2155,426
"Armstrong",2008,1776,2340,444
"Armstrong",2009,2151,2962,659
"Armstrong",2010,2273,3112,690
"Armstrong",2011,2252,3002,613
"Armstrong",2012,2183,2831,554
"Armstrong",2013,2278,2946,582
"Armstrong",2014,2290,2945,547
"Armstrong",2015,2448,3211,655
"Armstrong",2016,2504,3295,667
"Armstrong",2017,2635,3364,612
"Armstrong",2018,2763,3540,639
"Armstrong",2019,2780,3531,607
"Armstrong",2020,2926,3661,589
"Armstrong",2021,2967,3674,580
"Armstrong",2022,3146,3859,556
"Armstrong",2023,3120,3889,616
"Armstrong",2024,3273,4052,639
"Armstrong",2025,1328,1636,266
