"csdname","year","cases","recips","depchld"
"Burnaby",1995,114448,188435,61384
"Burnaby",1996,106507,179604,60249
"Burnaby",1997,93382,159573,53893
"Burnaby",1998,86515,147731,50036
"Burnaby",1999,79777,136237,46070
"Burnaby",2000,75132,129302,44714
"Burnaby",2001,72761,122897,41219
"Burnaby",2002,67198,111204,36029
"Burnaby",2003,56595,89462,26800
"Burnaby",2004,49920,76112,21560
"Burnaby",2005,45057,66599,17739
"Burnaby",2006,43644,62949,15537
"Burnaby",2007,46185,66036,15879
"Burnaby",2008,48620,68836,16335
"Burnaby",2009,54119,75970,17572
"Burnaby",2010,59562,83362,19306
"Burnaby",2011,61349,85656,19709
"Burnaby",2012,60700,83988,18794
"Burnaby",2013,62273,85690,18890
"Burnaby",2014,61301,83262,17608
"Burnaby",2015,60961,82640,17211
"Burnaby",2016,61921,83687,17357
"Burnaby",2017,62055,83798,17332
"Burnaby",2018,62561,84423,17405
"Burnaby",2019,63169,85431,17723
"Burnaby",2020,65416,88945,18590
"Burnaby",2021,64975,88420,18438
"Burnaby",2022,67787,93104,19705
"Burnaby",2023,72035,98514,20214
"Burnaby",2024,79345,107779,21716
"Burnaby",2025,34780,47217,9497
