"csdname","year","cases","recips","depchld"
"Campbell River",1995,23609,44530,18096
"Campbell River",1996,22703,42551,17123
"Campbell River",1997,21344,39367,15421
"Campbell River",1998,20630,37683,14388
"Campbell River",1999,20633,36609,13457
"Campbell River",2000,20539,35473,12666
"Campbell River",2001,20301,34960,12423
"Campbell River",2002,17712,29750,10212
"Campbell River",2003,14620,23640,7594
"Campbell River",2004,13640,21222,6319
"Campbell River",2005,12927,19742,5649
"Campbell River",2006,11797,17715,4845
"Campbell River",2007,11945,17666,4567
"Campbell River",2008,12368,17820,4449
"Campbell River",2009,15239,21996,5622
"Campbell River",2010,16872,24347,6263
"Campbell River",2011,16804,24016,5965
"Campbell River",2012,16658,23570,5784
"Campbell River",2013,16913,23952,5935
"Campbell River",2014,17271,24070,5626
"Campbell River",2015,17682,24480,5705
"Campbell River",2016,18717,26368,6427
"Campbell River",2017,19162,27361,7006
"Campbell River",2018,20049,28558,7426
"Campbell River",2019,21045,29767,7630
"Campbell River",2020,21944,30650,7612
"Campbell River",2021,22280,30846,7617
"Campbell River",2022,23456,32174,7720
"Campbell River",2023,24360,33600,8200
"Campbell River",2024,25032,34245,8176
"Campbell River",2025,10818,14725,3455
