"csdname","year","cases","recips","depchld"
"Castlegar",1995,4729,8956,3584
"Castlegar",1996,5342,10119,4043
"Castlegar",1997,5257,9555,3738
"Castlegar",1998,5012,8904,3441
"Castlegar",1999,4986,8798,3401
"Castlegar",2000,5093,8641,3120
"Castlegar",2001,4191,6797,2284
"Castlegar",2002,3717,5631,1699
"Castlegar",2003,3039,4582,1359
"Castlegar",2004,2778,3997,1093
"Castlegar",2005,2753,3990,1130
"Castlegar",2006,2703,3703,880
"Castlegar",2007,2617,3431,714
"Castlegar",2008,2578,3386,693
"Castlegar",2009,3068,4178,931
"Castlegar",2010,3458,4592,956
"Castlegar",2011,3584,4691,938
"Castlegar",2012,3358,4343,809
"Castlegar",2013,3269,4186,734
"Castlegar",2014,3214,3931,539
"Castlegar",2015,3474,4476,814
"Castlegar",2016,3756,5072,1104
"Castlegar",2017,3801,5353,1348
"Castlegar",2018,3947,5690,1534
"Castlegar",2019,4068,5819,1557
"Castlegar",2020,4258,5895,1456
"Castlegar",2021,4090,5674,1387
"Castlegar",2022,4127,5788,1446
"Castlegar",2023,4108,5833,1514
"Castlegar",2024,4271,6102,1625
"Castlegar",2025,1823,2616,715
