"csdname","year","cases","recips","depchld"
"Central Kootenay H",1995,4889,9145,3412
"Central Kootenay H",1996,4300,7527,2654
"Central Kootenay H",1997,4069,6822,2324
"Central Kootenay H",1998,3905,6553,2207
"Central Kootenay H",1999,3644,6344,2253
"Central Kootenay H",2000,3491,6184,2329
"Central Kootenay H",2001,2779,4684,1613
"Central Kootenay H",2002,2145,3398,1079
"Central Kootenay H",2003,1651,2456,664
"Central Kootenay H",2004,1538,2383,699
"Central Kootenay H",2005,1467,2218,681
"Central Kootenay H",2006,1546,2322,673
"Central Kootenay H",2007,1472,2090,474
"Central Kootenay H",2008,1578,2186,480
"Central Kootenay H",2009,2010,2779,632
"Central Kootenay H",2010,2161,3045,736
"Central Kootenay H",2011,2048,2910,729
"Central Kootenay H",2012,2032,2749,591
"Central Kootenay H",2013,1797,2468,554
"Central Kootenay H",2014,1737,2596,688
"Central Kootenay H",2015,1713,2600,716
"Central Kootenay H",2016,2188,3112,772
"Central Kootenay H",2017,2217,3021,666
"Central Kootenay H",2018,2329,3148,677
"Central Kootenay H",2019,2446,3368,790
"Central Kootenay H",2020,2589,3568,802
"Central Kootenay H",2021,2605,3540,738
"Central Kootenay H",2022,2695,3704,811
"Central Kootenay H",2023,2818,3745,755
"Central Kootenay H",2024,3083,4096,845
"Central Kootenay H",2025,1341,1798,390
