"csdname","year","cases","recips","depchld"
"Central Saanich",1995,3141,5623,2141
"Central Saanich",1996,3085,5074,1710
"Central Saanich",1997,2966,4579,1392
"Central Saanich",1998,3099,4736,1388
"Central Saanich",1999,3235,4968,1452
"Central Saanich",2000,2937,4463,1353
"Central Saanich",2001,2580,3672,969
"Central Saanich",2002,2175,3117,843
"Central Saanich",2003,1721,2335,543
"Central Saanich",2004,1684,2163,428
"Central Saanich",2005,1565,1924,312
"Central Saanich",2006,1503,1735,180
"Central Saanich",2007,1528,1719,162
"Central Saanich",2008,1759,2057,255
"Central Saanich",2009,2132,2533,347
"Central Saanich",2010,2265,2636,313
"Central Saanich",2011,2279,2624,306
"Central Saanich",2012,2280,2659,327
"Central Saanich",2013,2213,2526,299
"Central Saanich",2014,2299,2766,421
"Central Saanich",2015,2356,2813,425
"Central Saanich",2016,2453,2894,413
"Central Saanich",2017,2730,3218,434
"Central Saanich",2018,3001,3524,455
"Central Saanich",2019,2990,3523,481
"Central Saanich",2020,3125,3799,622
"Central Saanich",2021,3012,3661,584
"Central Saanich",2022,3124,3705,525
"Central Saanich",2023,3285,3870,496
"Central Saanich",2024,3683,4280,526
"Central Saanich",2025,1547,1776,205
