"csdname","year","cases","recips","depchld"
"Chilliwack",1995,43649,83685,34203
"Chilliwack",1996,44587,84989,34533
"Chilliwack",1997,40695,75322,29931
"Chilliwack",1998,39066,72082,28806
"Chilliwack",1999,37331,66902,25836
"Chilliwack",2000,37333,65954,25156
"Chilliwack",2001,36871,63971,23479
"Chilliwack",2002,32106,53575,18569
"Chilliwack",2003,27728,44797,14775
"Chilliwack",2004,26805,41857,12966
"Chilliwack",2005,25887,38925,11097
"Chilliwack",2006,25401,37083,9914
"Chilliwack",2007,25640,36399,9166
"Chilliwack",2008,27131,38280,9529
"Chilliwack",2009,32623,46712,11874
"Chilliwack",2010,36451,52617,13507
"Chilliwack",2011,38663,55785,14143
"Chilliwack",2012,38753,55581,14073
"Chilliwack",2013,40007,56901,14146
"Chilliwack",2014,41411,58217,14061
"Chilliwack",2015,42256,60062,14982
"Chilliwack",2016,43732,62237,15728
"Chilliwack",2017,44350,62621,15621
"Chilliwack",2018,45729,63978,15702
"Chilliwack",2019,48219,68845,17950
"Chilliwack",2020,51398,73928,19746
"Chilliwack",2021,52461,75038,19724
"Chilliwack",2022,55494,78545,20187
"Chilliwack",2023,59113,82927,20975
"Chilliwack",2024,63977,90012,22968
"Chilliwack",2025,27856,39444,10242
