"csdname","year","cases","recips","depchld"
"Comox",1995,4548,8739,3582
"Comox",1996,4699,8920,3590
"Comox",1997,3967,7404,2946
"Comox",1998,3674,6862,2711
"Comox",1999,3483,6388,2541
"Comox",2000,3443,6151,2369
"Comox",2001,3227,5752,2224
"Comox",2002,2749,4701,1694
"Comox",2003,2351,3559,1063
"Comox",2004,2118,3139,891
"Comox",2005,2004,2914,749
"Comox",2006,1847,2452,490
"Comox",2007,1951,2545,503
"Comox",2008,2137,2825,601
"Comox",2009,2578,3339,625
"Comox",2010,2765,3616,761
"Comox",2011,2801,3647,768
"Comox",2012,2760,3597,756
"Comox",2013,2798,3560,631
"Comox",2014,2670,3365,566
"Comox",2015,2851,3534,565
"Comox",2016,3208,3883,573
"Comox",2017,3601,4357,657
"Comox",2018,3690,4588,777
"Comox",2019,3777,4864,936
"Comox",2020,3750,4852,972
"Comox",2021,3674,4822,1026
"Comox",2022,3777,4972,1056
"Comox",2023,3991,5126,968
"Comox",2024,4384,5568,997
"Comox",2025,1881,2372,412
