"csdname","year","cases","recips","depchld"
"Coquitlam",1995,45204,82342,31170
"Coquitlam",1996,42165,78201,30303
"Coquitlam",1997,36669,67657,26174
"Coquitlam",1998,33447,60972,23091
"Coquitlam",1999,30478,55160,20649
"Coquitlam",2000,28621,51061,18596
"Coquitlam",2001,27210,47110,16544
"Coquitlam",2002,24837,42257,14193
"Coquitlam",2003,20463,33331,10358
"Coquitlam",2004,18346,28573,8258
"Coquitlam",2005,16748,24840,6569
"Coquitlam",2006,16646,23897,5943
"Coquitlam",2007,17266,24217,5647
"Coquitlam",2008,19478,27164,6215
"Coquitlam",2009,23419,33533,8101
"Coquitlam",2010,27140,39432,9888
"Coquitlam",2011,29937,43544,11076
"Coquitlam",2012,29755,43770,11306
"Coquitlam",2013,30313,44168,10989
"Coquitlam",2014,30063,42883,10026
"Coquitlam",2015,30380,43140,10131
"Coquitlam",2016,31747,44642,10342
"Coquitlam",2017,32496,46005,10847
"Coquitlam",2018,32396,45976,10919
"Coquitlam",2019,34186,48852,11749
"Coquitlam",2020,35991,51314,12113
"Coquitlam",2021,35728,50119,11364
"Coquitlam",2022,36683,50845,11099
"Coquitlam",2023,39884,56056,12450
"Coquitlam",2024,43776,61599,13830
"Coquitlam",2025,19194,26693,5798
