"csdname","year","cases","recips","depchld"
"Courtenay",1995,28200,54380,22035
"Courtenay",1996,27937,53080,21388
"Courtenay",1997,25596,46722,18086
"Courtenay",1998,23782,42877,16386
"Courtenay",1999,22820,40384,15092
"Courtenay",2000,21347,37094,13796
"Courtenay",2001,20731,35156,12552
"Courtenay",2002,17667,28833,9716
"Courtenay",2003,14253,22854,7434
"Courtenay",2004,13223,20740,6483
"Courtenay",2005,12215,18695,5573
"Courtenay",2006,11432,16908,4647
"Courtenay",2007,11229,16008,4001
"Courtenay",2008,11953,16762,4044
"Courtenay",2009,13816,19190,4467
"Courtenay",2010,14629,19874,4290
"Courtenay",2011,15417,20681,4308
"Courtenay",2012,15628,20854,4329
"Courtenay",2013,15551,20922,4406
"Courtenay",2014,15598,20656,4184
"Courtenay",2015,15995,21347,4418
"Courtenay",2016,16625,22353,4733
"Courtenay",2017,17173,22906,4799
"Courtenay",2018,17576,23397,4859
"Courtenay",2019,18452,24204,4819
"Courtenay",2020,19466,25426,5097
"Courtenay",2021,19868,25886,5130
"Courtenay",2022,20913,27217,5387
"Courtenay",2023,22018,28720,5723
"Courtenay",2024,23018,30185,6337
"Courtenay",2025,9797,12878,2764
