"csdname","year","cases","recips","depchld"
"Cranbrook",1995,17733,33243,12988
"Cranbrook",1996,16234,30333,11687
"Cranbrook",1997,13772,24963,9508
"Cranbrook",1998,13046,23882,9194
"Cranbrook",1999,12316,22777,8800
"Cranbrook",2000,11250,20241,7575
"Cranbrook",2001,10866,19072,6847
"Cranbrook",2002,9654,16196,5454
"Cranbrook",2003,8128,13109,4208
"Cranbrook",2004,7340,11256,3247
"Cranbrook",2005,7121,10596,2824
"Cranbrook",2006,6815,9843,2436
"Cranbrook",2007,6977,9620,2087
"Cranbrook",2008,6909,9552,2076
"Cranbrook",2009,8182,11342,2497
"Cranbrook",2010,8570,12144,3004
"Cranbrook",2011,8762,12232,2877
"Cranbrook",2012,8701,11794,2550
"Cranbrook",2013,8784,11864,2525
"Cranbrook",2014,8883,11874,2390
"Cranbrook",2015,9067,11948,2270
"Cranbrook",2016,9868,13329,2851
"Cranbrook",2017,10455,13987,2918
"Cranbrook",2018,10359,13710,2801
"Cranbrook",2019,10694,14246,3028
"Cranbrook",2020,11542,15411,3308
"Cranbrook",2021,11950,15786,3329
"Cranbrook",2022,12858,17065,3716
"Cranbrook",2023,13540,18004,3959
"Cranbrook",2024,14199,18861,4147
"Cranbrook",2025,6018,7860,1641
