"csdname","year","cases","recips","depchld"
"Dawson Creek",1995,13093,24442,10014
"Dawson Creek",1996,11700,22130,9239
"Dawson Creek",1997,11449,20845,8279
"Dawson Creek",1998,10566,18716,7039
"Dawson Creek",1999,10413,17785,6248
"Dawson Creek",2000,10106,16838,5715
"Dawson Creek",2001,9709,15710,5073
"Dawson Creek",2002,8523,13614,4300
"Dawson Creek",2003,7191,11150,3336
"Dawson Creek",2004,6860,10497,2995
"Dawson Creek",2005,5999,8530,2029
"Dawson Creek",2006,5557,7688,1677
"Dawson Creek",2007,5670,7832,1749
"Dawson Creek",2008,6022,8366,1940
"Dawson Creek",2009,6435,9030,2176
"Dawson Creek",2010,6515,8914,2054
"Dawson Creek",2011,6210,8372,1793
"Dawson Creek",2012,6107,8325,1846
"Dawson Creek",2013,6148,8421,1931
"Dawson Creek",2014,6148,8249,1766
"Dawson Creek",2015,6292,8679,2065
"Dawson Creek",2016,7237,10686,3085
"Dawson Creek",2017,7491,10870,3028
"Dawson Creek",2018,7576,10699,2790
"Dawson Creek",2019,8254,11659,3051
"Dawson Creek",2020,9140,12800,3292
"Dawson Creek",2021,9135,12793,3328
"Dawson Creek",2022,10716,14975,3818
"Dawson Creek",2023,11163,15402,3758
"Dawson Creek",2024,11606,16056,4014
"Dawson Creek",2025,4940,6691,1556
