"csdname","year","cases","recips","depchld"
"Delta",1995,29762,52808,19962
"Delta",1996,27803,49648,19179
"Delta",1997,24368,42906,16170
"Delta",1998,22715,39514,14769
"Delta",1999,20978,36453,13494
"Delta",2000,20891,35674,12857
"Delta",2001,21104,35363,12369
"Delta",2002,18805,29666,9366
"Delta",2003,15766,23370,6505
"Delta",2004,15034,21123,5329
"Delta",2005,14321,19396,4482
"Delta",2006,14325,19260,4233
"Delta",2007,15099,19668,3886
"Delta",2008,16105,20771,3968
"Delta",2009,18287,24013,4942
"Delta",2010,19367,25538,5312
"Delta",2011,18964,24924,5128
"Delta",2012,18739,24470,4896
"Delta",2013,19064,24698,4785
"Delta",2014,19267,24753,4617
"Delta",2015,19729,25242,4614
"Delta",2016,20224,26525,5402
"Delta",2017,21292,28424,6133
"Delta",2018,21883,29291,6378
"Delta",2019,22110,30330,7076
"Delta",2020,23429,32299,7727
"Delta",2021,23054,31811,7561
"Delta",2022,24323,33824,8051
"Delta",2023,26387,37650,9372
"Delta",2024,29350,42965,11120
"Delta",2025,12908,19309,5237
