"csdname","year","cases","recips","depchld"
"Esquimalt",1995,20294,34167,11459
"Esquimalt",1996,18268,30871,10482
"Esquimalt",1997,16470,26742,8704
"Esquimalt",1998,15809,25651,8340
"Esquimalt",1999,15437,24504,7635
"Esquimalt",2000,15269,23690,6990
"Esquimalt",2001,15565,23792,6868
"Esquimalt",2002,13315,20229,5764
"Esquimalt",2003,10905,15978,4200
"Esquimalt",2004,10845,15540,3807
"Esquimalt",2005,10487,14524,3171
"Esquimalt",2006,9305,12595,2590
"Esquimalt",2007,9113,11970,2222
"Esquimalt",2008,8800,11200,1866
"Esquimalt",2009,9586,11999,1800
"Esquimalt",2010,10217,12584,1750
"Esquimalt",2011,10530,13129,1990
"Esquimalt",2012,11019,13776,2095
"Esquimalt",2013,11601,14514,2220
"Esquimalt",2014,12299,15366,2339
"Esquimalt",2015,12541,15551,2315
"Esquimalt",2016,12556,15398,2272
"Esquimalt",2017,12099,14957,2335
"Esquimalt",2018,11348,13752,1937
"Esquimalt",2019,11164,13449,1832
"Esquimalt",2020,10953,13228,1789
"Esquimalt",2021,10262,12372,1656
"Esquimalt",2022,10242,12556,1850
"Esquimalt",2023,10056,12275,1746
"Esquimalt",2024,10261,12844,2102
"Esquimalt",2025,4294,5514,1003
