"csdname","year","cases","recips","depchld"
"Fort St. John",1995,9712,18936,8096
"Fort St. John",1996,8180,16348,7191
"Fort St. John",1997,7319,13819,5701
"Fort St. John",1998,7016,12160,4449
"Fort St. John",1999,7681,13467,5015
"Fort St. John",2000,7612,13698,5457
"Fort St. John",2001,7350,12822,4851
"Fort St. John",2002,5742,9559,3414
"Fort St. John",2003,4001,6366,2131
"Fort St. John",2004,3382,5077,1481
"Fort St. John",2005,2935,4252,1156
"Fort St. John",2006,2737,3747,872
"Fort St. John",2007,3054,4214,992
"Fort St. John",2008,3503,4881,1227
"Fort St. John",2009,4574,6626,1796
"Fort St. John",2010,4746,6860,1900
"Fort St. John",2011,4284,6146,1669
"Fort St. John",2012,3946,5425,1341
"Fort St. John",2013,3936,5542,1464
"Fort St. John",2014,3679,4869,1081
"Fort St. John",2015,4064,5574,1383
"Fort St. John",2016,4992,7172,1971
"Fort St. John",2017,5536,8260,2555
"Fort St. John",2018,6119,9112,2785
"Fort St. John",2019,6946,10213,3031
"Fort St. John",2020,8215,12015,3482
"Fort St. John",2021,8605,12565,3575
"Fort St. John",2022,9719,14157,3985
"Fort St. John",2023,10191,14950,4335
"Fort St. John",2024,11304,16484,4833
"Fort St. John",2025,5027,7330,2158
