"csdname","year","cases","recips","depchld"
"Grand Forks",1995,4709,8726,3306
"Grand Forks",1996,4565,8456,3245
"Grand Forks",1997,4475,7919,2914
"Grand Forks",1998,4242,7423,2730
"Grand Forks",1999,3947,6928,2515
"Grand Forks",2000,3865,6544,2217
"Grand Forks",2001,3804,6201,1979
"Grand Forks",2002,3546,5600,1688
"Grand Forks",2003,3125,4716,1297
"Grand Forks",2004,2825,4209,1123
"Grand Forks",2005,2947,4353,1164
"Grand Forks",2006,2712,3889,950
"Grand Forks",2007,2574,3493,732
"Grand Forks",2008,2840,3969,913
"Grand Forks",2009,3285,4635,1050
"Grand Forks",2010,3365,4687,1058
"Grand Forks",2011,3257,4463,980
"Grand Forks",2012,3119,4116,826
"Grand Forks",2013,3104,4040,759
"Grand Forks",2014,3161,4175,818
"Grand Forks",2015,3145,4108,776
"Grand Forks",2016,3277,4327,845
"Grand Forks",2017,3410,4617,973
"Grand Forks",2018,3548,4695,928
"Grand Forks",2019,3669,4863,990
"Grand Forks",2020,3924,5191,1038
"Grand Forks",2021,3908,4956,836
"Grand Forks",2022,4143,5254,927
"Grand Forks",2023,4194,5341,983
"Grand Forks",2024,4317,5393,940
"Grand Forks",2025,1857,2351,432
