"csdname","year","cases","recips","depchld"
"Hope",1995,7390,12992,4619
"Hope",1996,7564,13466,4924
"Hope",1997,7321,13150,4881
"Hope",1998,7323,12988,4688
"Hope",1999,7268,12752,4457
"Hope",2000,7230,12427,4243
"Hope",2001,7001,11772,3891
"Hope",2002,6145,9901,2996
"Hope",2003,5246,8452,2425
"Hope",2004,4984,7823,2131
"Hope",2005,4639,6808,1639
"Hope",2006,4439,6369,1414
"Hope",2007,4314,6022,1244
"Hope",2008,4656,6396,1269
"Hope",2009,5560,7724,1618
"Hope",2010,5892,8041,1662
"Hope",2011,5892,8224,1834
"Hope",2012,6052,8361,1781
"Hope",2013,6045,8267,1672
"Hope",2014,5850,7899,1546
"Hope",2015,6099,8089,1562
"Hope",2016,6439,8515,1660
"Hope",2017,6326,8354,1567
"Hope",2018,6361,8218,1489
"Hope",2019,6951,8990,1668
"Hope",2020,7434,9547,1757
"Hope",2021,7564,9709,1716
"Hope",2022,7566,9709,1702
"Hope",2023,7268,9207,1551
"Hope",2024,8282,10736,2001
"Hope",2025,3889,5042,937
