"csdname","year","cases","recips","depchld"
"Kamloops",1995,71516,127301,47449
"Kamloops",1996,63922,115070,43705
"Kamloops",1997,57153,99807,36355
"Kamloops",1998,50800,87489,31423
"Kamloops",1999,50940,86035,29771
"Kamloops",2000,52411,86244,28503
"Kamloops",2001,50449,81325,26187
"Kamloops",2002,41856,65356,20128
"Kamloops",2003,34294,51802,14920
"Kamloops",2004,31536,46415,12517
"Kamloops",2005,31049,44602,11480
"Kamloops",2006,30328,42476,10264
"Kamloops",2007,32372,44454,10162
"Kamloops",2008,34999,47192,10291
"Kamloops",2009,40978,55451,12172
"Kamloops",2010,43630,59137,13072
"Kamloops",2011,44398,59846,13078
"Kamloops",2012,42524,56331,11617
"Kamloops",2013,41398,54299,10698
"Kamloops",2014,42258,54710,10296
"Kamloops",2015,44379,57427,10888
"Kamloops",2016,47576,62473,12656
"Kamloops",2017,49874,65824,13752
"Kamloops",2018,51413,67025,13445
"Kamloops",2019,54017,69505,13383
"Kamloops",2020,56913,72959,13986
"Kamloops",2021,56797,73132,14293
"Kamloops",2022,58883,75634,14546
"Kamloops",2023,60030,77128,15036
"Kamloops",2024,62461,80626,16076
"Kamloops",2025,26924,34494,6687
