"csdname","year","cases","recips","depchld"
"Kelowna",1995,63446,115818,44438
"Kelowna",1996,56680,105149,41189
"Kelowna",1997,51984,92633,34541
"Kelowna",1998,47389,81541,28972
"Kelowna",1999,45686,76800,26551
"Kelowna",2000,46121,76302,25687
"Kelowna",2001,46597,75827,24593
"Kelowna",2002,41284,63409,18382
"Kelowna",2003,35868,52762,14060
"Kelowna",2004,34506,48469,11542
"Kelowna",2005,33517,45706,9871
"Kelowna",2006,32931,43965,8860
"Kelowna",2007,34607,44455,7805
"Kelowna",2008,37214,47522,8260
"Kelowna",2009,47957,62653,11916
"Kelowna",2010,56353,74329,14742
"Kelowna",2011,57418,75987,15419
"Kelowna",2012,54522,71329,13868
"Kelowna",2013,52098,67253,12369
"Kelowna",2014,51880,66273,11769
"Kelowna",2015,52401,66020,11120
"Kelowna",2016,54035,68400,11845
"Kelowna",2017,55258,70464,12642
"Kelowna",2018,55737,70547,12388
"Kelowna",2019,58647,73950,12699
"Kelowna",2020,63134,79694,13838
"Kelowna",2021,64733,81788,14258
"Kelowna",2022,67595,85761,15266
"Kelowna",2023,70842,91082,17013
"Kelowna",2024,75920,98346,18846
"Kelowna",2025,33037,42898,8369
