"csdname","year","cases","recips","depchld"
"Lake Cowichan",1995,4624,10068,4479
"Lake Cowichan",1996,4713,10177,4457
"Lake Cowichan",1997,4010,8479,3605
"Lake Cowichan",1998,3832,7915,3316
"Lake Cowichan",1999,4066,8080,3293
"Lake Cowichan",2000,4261,8182,3214
"Lake Cowichan",2001,4448,8347,3175
"Lake Cowichan",2002,3933,7151,2645
"Lake Cowichan",2003,3059,5264,1818
"Lake Cowichan",2004,2649,4365,1362
"Lake Cowichan",2005,2443,3746,988
"Lake Cowichan",2006,2365,3525,883
"Lake Cowichan",2007,2356,3307,732
"Lake Cowichan",2008,2527,3632,857
"Lake Cowichan",2009,2827,3861,771
"Lake Cowichan",2010,3001,4096,759
"Lake Cowichan",2011,2996,4174,823
"Lake Cowichan",2012,3033,4279,910
"Lake Cowichan",2013,3267,4325,749
"Lake Cowichan",2014,3201,4093,596
"Lake Cowichan",2015,3250,4108,613
"Lake Cowichan",2016,3537,4521,721
"Lake Cowichan",2017,3500,4463,715
"Lake Cowichan",2018,3425,4348,674
"Lake Cowichan",2019,3520,4360,556
"Lake Cowichan",2020,3519,4381,600
"Lake Cowichan",2021,3306,4166,632
"Lake Cowichan",2022,3128,3998,655
"Lake Cowichan",2023,3055,3992,720
"Lake Cowichan",2024,3142,4186,877
"Lake Cowichan",2025,1377,1861,416
