"csdname","year","cases","recips","depchld"
"Langley City",1995,17574,32677,13165
"Langley City",1996,17727,33034,13315
"Langley City",1997,15624,28955,11694
"Langley City",1998,14437,26457,10390
"Langley City",1999,13624,24091,9017
"Langley City",2000,13316,22946,8389
"Langley City",2001,13509,23050,8391
"Langley City",2002,12499,20236,6782
"Langley City",2003,10541,16218,4958
"Langley City",2004,9558,13632,3474
"Langley City",2005,9063,12689,3078
"Langley City",2006,8654,11837,2566
"Langley City",2007,9178,12345,2621
"Langley City",2008,10644,14360,3138
"Langley City",2009,12645,17539,3983
"Langley City",2010,14310,19509,4267
"Langley City",2011,14513,19878,4427
"Langley City",2012,14485,19496,4160
"Langley City",2013,14909,20302,4427
"Langley City",2014,14876,19954,4101
"Langley City",2015,15213,20272,4106
"Langley City",2016,15994,21275,4342
"Langley City",2017,15891,21791,4818
"Langley City",2018,16375,22540,5128
"Langley City",2019,17375,23701,5314
"Langley City",2020,17981,24864,5743
"Langley City",2021,17455,24020,5408
"Langley City",2022,18682,25919,5937
"Langley City",2023,19970,27973,6547
"Langley City",2024,21194,29675,6898
"Langley City",2025,8986,12663,3014
