"csdname","year","cases","recips","depchld"
"Langley Township",1995,25816,46588,18181
"Langley Township",1996,25638,46905,18808
"Langley Township",1997,22606,39761,15250
"Langley Township",1998,20435,35508,13361
"Langley Township",1999,19127,32298,11594
"Langley Township",2000,18010,29903,10491
"Langley Township",2001,17198,28167,9576
"Langley Township",2002,14697,22905,7193
"Langley Township",2003,11814,17628,5078
"Langley Township",2004,11044,15740,4095
"Langley Township",2005,10659,14219,3117
"Langley Township",2006,10907,14131,2781
"Langley Township",2007,12545,15785,2764
"Langley Township",2008,14342,18284,3433
"Langley Township",2009,16417,21023,4002
"Langley Township",2010,18477,24211,5039
"Langley Township",2011,19646,25402,5038
"Langley Township",2012,19824,25514,5030
"Langley Township",2013,19671,25296,4970
"Langley Township",2014,19632,24893,4663
"Langley Township",2015,20088,25265,4559
"Langley Township",2016,21344,27249,5294
"Langley Township",2017,21670,28107,5773
"Langley Township",2018,23259,30112,6097
"Langley Township",2019,25214,32809,6824
"Langley Township",2020,28031,37041,8015
"Langley Township",2021,29131,38357,8124
"Langley Township",2022,31171,41260,8795
"Langley Township",2023,34256,45665,9976
"Langley Township",2024,37650,51324,11848
"Langley Township",2025,16484,22616,5318
