"csdname","year","cases","recips","depchld"
"Maple Ridge",1995,35120,63265,24031
"Maple Ridge",1996,33034,59319,22662
"Maple Ridge",1997,28818,50563,18908
"Maple Ridge",1998,27182,47032,17262
"Maple Ridge",1999,24801,42832,15793
"Maple Ridge",2000,23556,39556,14207
"Maple Ridge",2001,23273,38023,12966
"Maple Ridge",2002,20273,31630,9872
"Maple Ridge",2003,17255,25343,6916
"Maple Ridge",2004,17125,23950,5841
"Maple Ridge",2005,16751,22864,5221
"Maple Ridge",2006,16572,22091,4624
"Maple Ridge",2007,18492,24030,4488
"Maple Ridge",2008,20702,26915,5024
"Maple Ridge",2009,24490,32060,6202
"Maple Ridge",2010,27049,35307,6865
"Maple Ridge",2011,28520,36873,7001
"Maple Ridge",2012,28523,36183,6390
"Maple Ridge",2013,29054,36379,6156
"Maple Ridge",2014,29614,37016,6166
"Maple Ridge",2015,30992,38222,5889
"Maple Ridge",2016,31838,39464,6233
"Maple Ridge",2017,32192,40061,6620
"Maple Ridge",2018,33080,40426,6136
"Maple Ridge",2019,34920,43110,6908
"Maple Ridge",2020,36525,45394,7561
"Maple Ridge",2021,36944,45736,7587
"Maple Ridge",2022,39033,48955,8551
"Maple Ridge",2023,41852,53035,9598
"Maple Ridge",2024,44018,56480,10564
"Maple Ridge",2025,18788,24189,4564
