"csdname","year","cases","recips","depchld"
"Mission",1995,24555,48500,20490
"Mission",1996,23829,47485,20269
"Mission",1997,22184,42689,17729
"Mission",1998,21649,40511,16424
"Mission",1999,19257,35649,14224
"Mission",2000,18175,32659,12661
"Mission",2001,17577,30855,11596
"Mission",2002,15836,26706,9428
"Mission",2003,13319,21072,6721
"Mission",2004,12597,18999,5505
"Mission",2005,11550,16962,4533
"Mission",2006,11473,16611,4213
"Mission",2007,12670,18027,4493
"Mission",2008,13795,19179,4584
"Mission",2009,16647,23500,5746
"Mission",2010,17992,25817,6631
"Mission",2011,18813,26711,6731
"Mission",2012,18656,26710,6924
"Mission",2013,18719,26455,6651
"Mission",2014,18864,26285,6380
"Mission",2015,19088,26516,6440
"Mission",2016,20001,27228,6330
"Mission",2017,20653,28003,6423
"Mission",2018,20566,28164,6730
"Mission",2019,21325,29186,6926
"Mission",2020,22554,31079,7571
"Mission",2021,22999,31794,7845
"Mission",2022,23740,33154,8477
"Mission",2023,25691,36398,9726
"Mission",2024,28274,40581,11110
"Mission",2025,12338,17694,4830
