"csdname","year","cases","recips","depchld"
"Nanaimo A",1995,3716,6247,2052
"Nanaimo A",1996,3361,5707,1912
"Nanaimo A",1997,2859,5081,1768
"Nanaimo A",1998,2777,5049,1836
"Nanaimo A",1999,2916,5146,1793
"Nanaimo A",2000,3354,5748,1954
"Nanaimo A",2001,3546,6143,2128
"Nanaimo A",2002,3202,5293,1744
"Nanaimo A",2003,2401,3801,1161
"Nanaimo A",2004,2230,3555,1102
"Nanaimo A",2005,2000,3128,960
"Nanaimo A",2006,1991,3013,867
"Nanaimo A",2007,2057,2987,778
"Nanaimo A",2008,2231,3126,735
"Nanaimo A",2009,3112,4322,930
"Nanaimo A",2010,2968,3869,735
"Nanaimo A",2011,2903,3747,668
"Nanaimo A",2012,2872,3531,529
"Nanaimo A",2013,2673,3409,553
"Nanaimo A",2014,2610,3272,507
"Nanaimo A",2015,2579,3291,585
"Nanaimo A",2016,2803,3695,743
"Nanaimo A",2017,3007,3958,802
"Nanaimo A",2018,3003,3934,795
"Nanaimo A",2019,3133,4088,792
"Nanaimo A",2020,3400,4296,744
"Nanaimo A",2021,3222,3943,600
"Nanaimo A",2022,3543,4279,623
"Nanaimo A",2023,3635,4401,672
"Nanaimo A",2024,3865,4893,910
"Nanaimo A",2025,1717,2122,345
