"csdname","year","cases","recips","depchld"
"Nanaimo F",1995,4946,9002,3167
"Nanaimo F",1996,4851,8705,3031
"Nanaimo F",1997,4802,8253,2782
"Nanaimo F",1998,5050,8611,2812
"Nanaimo F",1999,4567,7681,2441
"Nanaimo F",2000,4369,6932,2023
"Nanaimo F",2001,4327,6522,1677
"Nanaimo F",2002,3931,5921,1565
"Nanaimo F",2003,3308,4805,1188
"Nanaimo F",2004,3222,4639,1136
"Nanaimo F",2005,3173,4485,1060
"Nanaimo F",2006,3128,4525,1148
"Nanaimo F",2007,3043,4242,988
"Nanaimo F",2008,3102,4182,847
"Nanaimo F",2009,3762,5037,1033
"Nanaimo F",2010,4098,5440,1073
"Nanaimo F",2011,4441,5697,997
"Nanaimo F",2012,4385,5446,797
"Nanaimo F",2013,4500,5749,931
"Nanaimo F",2014,4524,5553,761
"Nanaimo F",2015,4389,5425,756
"Nanaimo F",2016,4684,5790,844
"Nanaimo F",2017,4850,6013,873
"Nanaimo F",2018,5008,5993,715
"Nanaimo F",2019,5323,6370,769
"Nanaimo F",2020,5821,7341,1179
"Nanaimo F",2021,5540,7012,1145
"Nanaimo F",2022,5650,7117,1162
"Nanaimo F",2023,5585,6980,1131
"Nanaimo F",2024,5737,7107,1107
"Nanaimo F",2025,2480,3093,493
