"csdname","year","cases","recips","depchld"
"Nanaimo",1995,80033,144662,54769
"Nanaimo",1996,73812,134668,51514
"Nanaimo",1997,68187,121731,45050
"Nanaimo",1998,65264,112913,39971
"Nanaimo",1999,64073,108980,37592
"Nanaimo",2000,63977,107990,36992
"Nanaimo",2001,64861,107266,35484
"Nanaimo",2002,57853,93390,29860
"Nanaimo",2003,47952,75256,22772
"Nanaimo",2004,44415,67296,19187
"Nanaimo",2005,42093,61700,16424
"Nanaimo",2006,39663,55617,12969
"Nanaimo",2007,40433,55891,12398
"Nanaimo",2008,42149,58025,12801
"Nanaimo",2009,49205,68475,15474
"Nanaimo",2010,52625,72799,16435
"Nanaimo",2011,54144,74450,16738
"Nanaimo",2012,55002,75421,16903
"Nanaimo",2013,56015,76832,17155
"Nanaimo",2014,53927,72850,15469
"Nanaimo",2015,53658,71911,14866
"Nanaimo",2016,55534,74887,15848
"Nanaimo",2017,56391,75763,15934
"Nanaimo",2018,57659,78045,16763
"Nanaimo",2019,59429,79585,16625
"Nanaimo",2020,62875,83617,17247
"Nanaimo",2021,63553,84460,17464
"Nanaimo",2022,65896,87786,18547
"Nanaimo",2023,67476,90613,19787
"Nanaimo",2024,70371,94739,20908
"Nanaimo",2025,30358,40701,8916
