"csdname","year","cases","recips","depchld"
"Nelson",1995,10676,18005,6445
"Nelson",1996,10286,17549,6512
"Nelson",1997,9356,15043,5098
"Nelson",1998,8218,12931,4118
"Nelson",1999,8015,12486,3953
"Nelson",2000,8000,12158,3754
"Nelson",2001,8470,12931,3967
"Nelson",2002,7665,11351,3262
"Nelson",2003,6639,9390,2407
"Nelson",2004,6207,8648,2096
"Nelson",2005,6111,8092,1693
"Nelson",2006,5964,7748,1471
"Nelson",2007,6201,8092,1626
"Nelson",2008,6236,8155,1658
"Nelson",2009,6921,8947,1713
"Nelson",2010,7214,9223,1738
"Nelson",2011,7131,9145,1747
"Nelson",2012,7042,8871,1632
"Nelson",2013,6497,8065,1426
"Nelson",2014,6404,7927,1347
"Nelson",2015,6359,7738,1200
"Nelson",2016,6578,8119,1380
"Nelson",2017,6325,7788,1321
"Nelson",2018,6449,7889,1300
"Nelson",2019,6502,7967,1296
"Nelson",2020,6541,8128,1432
"Nelson",2021,6504,8164,1512
"Nelson",2022,6777,8373,1444
"Nelson",2023,6884,8637,1552
"Nelson",2024,7047,8751,1473
"Nelson",2025,2944,3591,552
