"csdname","year","cases","recips","depchld"
"New Westminster",1995,54322,77334,18154
"New Westminster",1996,49800,72593,17999
"New Westminster",1997,44685,65255,16167
"New Westminster",1998,42429,61087,14557
"New Westminster",1999,39287,56598,13571
"New Westminster",2000,38079,54817,13071
"New Westminster",2001,38508,54728,12751
"New Westminster",2002,33688,48018,11008
"New Westminster",2003,29392,40464,8488
"New Westminster",2004,26150,35307,7001
"New Westminster",2005,23495,30852,5530
"New Westminster",2006,22341,28520,4683
"New Westminster",2007,22694,28919,4698
"New Westminster",2008,24175,30271,4562
"New Westminster",2009,26631,33358,4964
"New Westminster",2010,29394,36835,5673
"New Westminster",2011,31642,39723,6305
"New Westminster",2012,29611,37538,6304
"New Westminster",2013,28290,35593,5788
"New Westminster",2014,27767,34525,5296
"New Westminster",2015,27617,33869,4845
"New Westminster",2016,28046,34760,5285
"New Westminster",2017,28331,35553,5654
"New Westminster",2018,28087,35120,5481
"New Westminster",2019,28477,35645,5583
"New Westminster",2020,29659,37128,5868
"New Westminster",2021,30434,37970,5986
"New Westminster",2022,32004,40699,6986
"New Westminster",2023,34067,43245,7319
"New Westminster",2024,36915,46960,8012
"New Westminster",2025,16090,20730,3713
