"csdname","year","cases","recips","depchld"
"North Cowichan",1995,20427,40115,16446
"North Cowichan",1996,19984,39449,16451
"North Cowichan",1997,18369,35120,14125
"North Cowichan",1998,16970,32198,12828
"North Cowichan",1999,16129,29963,11752
"North Cowichan",2000,16486,30170,11709
"North Cowichan",2001,16784,30245,11518
"North Cowichan",2002,15509,27518,10404
"North Cowichan",2003,12695,22019,8095
"North Cowichan",2004,11354,19067,6745
"North Cowichan",2005,10513,17249,5859
"North Cowichan",2006,9504,14872,4565
"North Cowichan",2007,10093,15634,4674
"North Cowichan",2008,10405,15814,4565
"North Cowichan",2009,11477,17559,5017
"North Cowichan",2010,12562,18774,5187
"North Cowichan",2011,13324,19725,5356
"North Cowichan",2012,13480,19463,4910
"North Cowichan",2013,13609,20017,5287
"North Cowichan",2014,13854,19764,4772
"North Cowichan",2015,14279,20529,5115
"North Cowichan",2016,14729,20984,5208
"North Cowichan",2017,14791,21055,5239
"North Cowichan",2018,14436,20504,5117
"North Cowichan",2019,14504,20395,5027
"North Cowichan",2020,15192,21466,5351
"North Cowichan",2021,14827,20773,5098
"North Cowichan",2022,15057,21254,5397
"North Cowichan",2023,15862,22427,5693
"North Cowichan",2024,17214,24310,6113
"North Cowichan",2025,7524,10672,2724
