"csdname","year","cases","recips","depchld"
"North Vancouver Dm",1995,18540,31314,11015
"North Vancouver Dm",1996,16199,27038,9350
"North Vancouver Dm",1997,12973,20861,6629
"North Vancouver Dm",1998,11758,18781,5797
"North Vancouver Dm",1999,11875,18268,5324
"North Vancouver Dm",2000,11540,17738,5223
"North Vancouver Dm",2001,11487,17494,4994
"North Vancouver Dm",2002,10165,14628,3650
"North Vancouver Dm",2003,8656,11485,2282
"North Vancouver Dm",2004,8833,11542,2250
"North Vancouver Dm",2005,8449,10961,2078
"North Vancouver Dm",2006,7905,9709,1490
"North Vancouver Dm",2007,8513,10214,1426
"North Vancouver Dm",2008,9398,11137,1446
"North Vancouver Dm",2009,10028,11827,1479
"North Vancouver Dm",2010,10780,12747,1640
"North Vancouver Dm",2011,11100,13002,1612
"North Vancouver Dm",2012,10901,12713,1494
"North Vancouver Dm",2013,11171,12909,1431
"North Vancouver Dm",2014,10985,12616,1358
"North Vancouver Dm",2015,11020,12685,1346
"North Vancouver Dm",2016,11862,13696,1511
"North Vancouver Dm",2017,12543,14495,1624
"North Vancouver Dm",2018,12743,14685,1578
"North Vancouver Dm",2019,12290,14363,1665
"North Vancouver Dm",2020,13002,15248,1824
"North Vancouver Dm",2021,12806,14870,1736
"North Vancouver Dm",2022,13371,15721,1891
"North Vancouver Dm",2023,14895,17641,2083
"North Vancouver Dm",2024,15983,19403,2665
"North Vancouver Dm",2025,6828,8329,1158
