"csdname","year","cases","recips","depchld"
"Okanagan-Similkameen H",1995,8298,14952,5139
"Okanagan-Similkameen H",1996,5060,8659,2717
"Okanagan-Similkameen H",1997,4573,7686,2307
"Okanagan-Similkameen H",1998,4434,7422,2217
"Okanagan-Similkameen H",1999,4334,7188,2079
"Okanagan-Similkameen H",2000,4227,7132,2083
"Okanagan-Similkameen H",2001,3997,6697,1957
"Okanagan-Similkameen H",2002,3587,5754,1484
"Okanagan-Similkameen H",2003,3024,4644,1119
"Okanagan-Similkameen H",2004,2857,4226,944
"Okanagan-Similkameen H",2005,2898,4045,763
"Okanagan-Similkameen H",2006,2761,3706,621
"Okanagan-Similkameen H",2007,2629,3662,710
"Okanagan-Similkameen H",2008,2758,3747,663
"Okanagan-Similkameen H",2009,3043,4251,864
"Okanagan-Similkameen H",2010,2912,3959,722
"Okanagan-Similkameen H",2011,2530,3310,539
"Okanagan-Similkameen H",2012,2294,2928,421
"Okanagan-Similkameen H",2013,2312,2945,445
"Okanagan-Similkameen H",2014,2375,3095,537
"Okanagan-Similkameen H",2015,2378,3043,527
"Okanagan-Similkameen H",2016,2660,3422,602
"Okanagan-Similkameen H",2017,2812,3624,641
"Okanagan-Similkameen H",2018,3052,3995,772
"Okanagan-Similkameen H",2019,3399,4507,917
"Okanagan-Similkameen H",2020,3507,4716,1003
"Okanagan-Similkameen H",2021,3465,4633,971
"Okanagan-Similkameen H",2022,3392,4359,790
"Okanagan-Similkameen H",2023,3447,4464,856
"Okanagan-Similkameen H",2024,3701,4777,900
"Okanagan-Similkameen H",2025,1496,1922,360
