"csdname","year","cases","recips","depchld"
"One Hundred Mile House",1995,5679,11063,4454
"One Hundred Mile House",1996,5365,10106,3877
"One Hundred Mile House",1997,5110,9366,3481
"One Hundred Mile House",1998,4598,8509,3223
"One Hundred Mile House",1999,4467,7920,2767
"One Hundred Mile House",2000,4221,7369,2490
"One Hundred Mile House",2001,4297,7543,2569
"One Hundred Mile House",2002,3530,6013,1964
"One Hundred Mile House",2003,2187,3649,1181
"One Hundred Mile House",2004,1817,2904,842
"One Hundred Mile House",2005,1813,2666,652
"One Hundred Mile House",2006,1836,2642,618
"One Hundred Mile House",2007,1855,2575,557
"One Hundred Mile House",2008,1888,2617,563
"One Hundred Mile House",2009,2065,2775,580
"One Hundred Mile House",2010,2240,3151,756
"One Hundred Mile House",2011,2476,3485,809
"One Hundred Mile House",2012,2636,3710,862
"One Hundred Mile House",2013,2454,3530,869
"One Hundred Mile House",2014,2401,3386,780
"One Hundred Mile House",2015,2430,3295,708
"One Hundred Mile House",2016,2476,3488,813
"One Hundred Mile House",2017,2411,3482,896
"One Hundred Mile House",2018,2458,3516,865
"One Hundred Mile House",2019,2626,3699,877
"One Hundred Mile House",2020,2763,3858,890
"One Hundred Mile House",2021,2870,3888,818
"One Hundred Mile House",2022,2841,3746,695
"One Hundred Mile House",2023,2957,3897,713
"One Hundred Mile House",2024,3215,4189,778
"One Hundred Mile House",2025,1359,1708,286
