"csdname","year","cases","recips","depchld"
"Parksville",1995,7644,13831,5191
"Parksville",1996,7046,12616,4708
"Parksville",1997,6905,12018,4345
"Parksville",1998,6804,11988,4351
"Parksville",1999,6455,10923,3698
"Parksville",2000,6065,10218,3510
"Parksville",2001,5809,9786,3372
"Parksville",2002,4824,7958,2660
"Parksville",2003,4101,6320,1910
"Parksville",2004,3653,5401,1486
"Parksville",2005,3373,4783,1198
"Parksville",2006,2972,3908,770
"Parksville",2007,2866,3737,708
"Parksville",2008,3262,4235,794
"Parksville",2009,3803,4951,941
"Parksville",2010,4085,5325,1079
"Parksville",2011,4091,5403,1138
"Parksville",2012,3851,4946,926
"Parksville",2013,4086,5231,983
"Parksville",2014,4204,5478,1094
"Parksville",2015,4188,5449,1102
"Parksville",2016,4204,5498,1108
"Parksville",2017,4175,5265,901
"Parksville",2018,4093,5068,817
"Parksville",2019,4567,5656,924
"Parksville",2020,5109,6220,923
"Parksville",2021,5176,6398,1024
"Parksville",2022,5286,6626,1123
"Parksville",2023,5509,7094,1371
"Parksville",2024,5823,7395,1422
"Parksville",2025,2505,3123,562
