"csdname","year","cases","recips","depchld"
"Pitt Meadows",1995,5357,10520,4663
"Pitt Meadows",1996,5673,10896,4688
"Pitt Meadows",1997,4798,9034,3770
"Pitt Meadows",1998,4344,8312,3450
"Pitt Meadows",1999,4198,7812,3114
"Pitt Meadows",2000,3748,6922,2778
"Pitt Meadows",2001,3716,6552,2468
"Pitt Meadows",2002,3207,5351,1836
"Pitt Meadows",2003,3120,4775,1392
"Pitt Meadows",2004,2599,4137,1303
"Pitt Meadows",2005,2214,3359,950
"Pitt Meadows",2006,2131,3372,1062
"Pitt Meadows",2007,2306,3550,1100
"Pitt Meadows",2008,2669,4036,1221
"Pitt Meadows",2009,2895,4203,1166
"Pitt Meadows",2010,3264,4645,1220
"Pitt Meadows",2011,3290,4639,1206
"Pitt Meadows",2012,3241,4350,958
"Pitt Meadows",2013,3234,4347,924
"Pitt Meadows",2014,3618,4845,1036
"Pitt Meadows",2015,3829,5245,1207
"Pitt Meadows",2016,4110,5731,1361
"Pitt Meadows",2017,4334,6151,1499
"Pitt Meadows",2018,4274,6162,1583
"Pitt Meadows",2019,4593,6634,1714
"Pitt Meadows",2020,4837,7086,1828
"Pitt Meadows",2021,4860,7142,1883
"Pitt Meadows",2022,4981,7288,1900
"Pitt Meadows",2023,5150,7569,1979
"Pitt Meadows",2024,5363,7603,1831
"Pitt Meadows",2025,2248,3132,703
