"csdname","year","cases","recips","depchld"
"Port Alberni",1995,23060,44435,17819
"Port Alberni",1996,22046,42188,16760
"Port Alberni",1997,20582,37948,14553
"Port Alberni",1998,19771,35619,13316
"Port Alberni",1999,18974,33657,12450
"Port Alberni",2000,19069,33243,12055
"Port Alberni",2001,18618,32426,11640
"Port Alberni",2002,16485,28180,9975
"Port Alberni",2003,13865,23054,7655
"Port Alberni",2004,13426,21281,6648
"Port Alberni",2005,11920,18589,5606
"Port Alberni",2006,11207,16990,4752
"Port Alberni",2007,12281,18304,4949
"Port Alberni",2008,13716,20295,5251
"Port Alberni",2009,16094,24399,6624
"Port Alberni",2010,17661,26508,7146
"Port Alberni",2011,18422,27470,7341
"Port Alberni",2012,18652,27271,7065
"Port Alberni",2013,19453,28463,7340
"Port Alberni",2014,19479,28477,7287
"Port Alberni",2015,19888,28753,7159
"Port Alberni",2016,20678,29899,7505
"Port Alberni",2017,21540,31009,7722
"Port Alberni",2018,22254,32042,7886
"Port Alberni",2019,22520,32461,8060
"Port Alberni",2020,23169,32932,7977
"Port Alberni",2021,22892,32156,7486
"Port Alberni",2022,23560,32956,7732
"Port Alberni",2023,24342,34081,8205
"Port Alberni",2024,25714,35735,8549
"Port Alberni",2025,10904,14987,3494
