"csdname","year","cases","recips","depchld"
"Port Coquitlam",1995,25828,47190,18477
"Port Coquitlam",1996,23184,43691,17875
"Port Coquitlam",1997,20606,37407,14521
"Port Coquitlam",1998,18658,33214,12534
"Port Coquitlam",1999,17984,31252,11489
"Port Coquitlam",2000,16777,28524,10310
"Port Coquitlam",2001,16204,26529,8998
"Port Coquitlam",2002,15287,23817,7407
"Port Coquitlam",2003,13291,19743,5531
"Port Coquitlam",2004,11574,16634,4306
"Port Coquitlam",2005,11604,15906,3641
"Port Coquitlam",2006,11696,15668,3413
"Port Coquitlam",2007,11899,15586,3172
"Port Coquitlam",2008,12739,16454,3216
"Port Coquitlam",2009,14995,20110,4488
"Port Coquitlam",2010,16658,22290,4939
"Port Coquitlam",2011,17188,23511,5487
"Port Coquitlam",2012,17393,23548,5410
"Port Coquitlam",2013,17125,22842,4940
"Port Coquitlam",2014,17227,22644,4659
"Port Coquitlam",2015,18177,24053,5081
"Port Coquitlam",2016,18813,25120,5425
"Port Coquitlam",2017,19525,26292,5761
"Port Coquitlam",2018,19626,26759,6076
"Port Coquitlam",2019,20414,28408,6745
"Port Coquitlam",2020,21089,29353,6981
"Port Coquitlam",2021,20789,28463,6381
"Port Coquitlam",2022,21240,29353,6779
"Port Coquitlam",2023,22776,32172,7781
"Port Coquitlam",2024,25032,35355,8366
"Port Coquitlam",2025,10920,15600,3809
