"csdname","year","cases","recips","depchld"
"Port Hardy",1995,4426,8709,3696
"Port Hardy",1996,4295,8532,3594
"Port Hardy",1997,3581,6991,2849
"Port Hardy",1998,3354,6719,2723
"Port Hardy",1999,3009,6144,2557
"Port Hardy",2000,2476,4778,1821
"Port Hardy",2001,2767,5292,1962
"Port Hardy",2002,2209,4111,1489
"Port Hardy",2003,1627,2962,1061
"Port Hardy",2004,1600,2862,1052
"Port Hardy",2005,1809,3254,1192
"Port Hardy",2006,2012,3703,1364
"Port Hardy",2007,2147,3558,1114
"Port Hardy",2008,2493,4042,1212
"Port Hardy",2009,2981,5024,1629
"Port Hardy",2010,3654,5885,1729
"Port Hardy",2011,3648,5925,1855
"Port Hardy",2012,3568,5553,1597
"Port Hardy",2013,3477,5391,1498
"Port Hardy",2014,3537,5520,1619
"Port Hardy",2015,3804,5928,1803
"Port Hardy",2016,4167,6523,2015
"Port Hardy",2017,4516,6972,2119
"Port Hardy",2018,4680,6928,1960
"Port Hardy",2019,4891,6969,1771
"Port Hardy",2020,5072,7048,1688
"Port Hardy",2021,4855,6737,1571
"Port Hardy",2022,5103,7185,1810
"Port Hardy",2023,5234,7247,1786
"Port Hardy",2024,5201,6991,1555
"Port Hardy",2025,2215,2972,665
