"csdname","year","cases","recips","depchld"
"Port Moody",1995,7743,14565,5931
"Port Moody",1996,7427,14037,5729
"Port Moody",1997,6670,11863,4487
"Port Moody",1998,6302,11202,4215
"Port Moody",1999,5733,10033,3813
"Port Moody",2000,5299,9050,3283
"Port Moody",2001,4752,8019,2845
"Port Moody",2002,4237,6585,2047
"Port Moody",2003,3544,5331,1514
"Port Moody",2004,3408,4851,1210
"Port Moody",2005,3026,4073,883
"Port Moody",2006,2809,3721,755
"Port Moody",2007,2924,4135,1006
"Port Moody",2008,3244,4678,1203
"Port Moody",2009,3958,5716,1459
"Port Moody",2010,4427,6350,1581
"Port Moody",2011,4563,6369,1483
"Port Moody",2012,4604,6595,1648
"Port Moody",2013,4802,6710,1584
"Port Moody",2014,4577,6355,1459
"Port Moody",2015,4767,6544,1437
"Port Moody",2016,4755,6431,1382
"Port Moody",2017,4732,6527,1445
"Port Moody",2018,4906,6695,1439
"Port Moody",2019,5094,6798,1310
"Port Moody",2020,5379,7013,1217
"Port Moody",2021,5394,7198,1418
"Port Moody",2022,5754,7570,1390
"Port Moody",2023,6479,8712,1725
"Port Moody",2024,7193,9802,2055
"Port Moody",2025,3052,4246,952
