"csdname","year","cases","recips","depchld"
"Powell River",1995,12967,23002,8230
"Powell River",1996,13038,23263,8361
"Powell River",1997,11791,19966,6755
"Powell River",1998,11090,18535,6116
"Powell River",1999,10918,18064,5899
"Powell River",2000,10944,17997,5708
"Powell River",2001,11185,17572,5215
"Powell River",2002,10147,16040,4803
"Powell River",2003,8974,13877,3917
"Powell River",2004,8906,13296,3498
"Powell River",2005,8559,12515,3084
"Powell River",2006,7912,11002,2352
"Powell River",2007,8165,10827,1980
"Powell River",2008,8972,11992,2286
"Powell River",2009,10323,13933,2765
"Powell River",2010,10730,14689,3084
"Powell River",2011,11188,14942,2944
"Powell River",2012,9634,13120,2745
"Powell River",2013,9264,12765,2817
"Powell River",2014,8916,12227,2618
"Powell River",2015,8699,11929,2499
"Powell River",2016,9147,12451,2611
"Powell River",2017,9460,13298,3044
"Powell River",2018,9749,13620,3144
"Powell River",2019,9810,13495,2942
"Powell River",2020,10111,13860,2922
"Powell River",2021,9963,13440,2709
"Powell River",2022,10409,13951,2768
"Powell River",2023,10579,14175,2911
"Powell River",2024,10570,14150,2979
"Powell River",2025,4551,6038,1241
