"csdname","year","cases","recips","depchld"
"Prince George",1995,75984,138319,55182
"Prince George",1996,69865,126500,50344
"Prince George",1997,61628,108801,41768
"Prince George",1998,58415,103088,39177
"Prince George",1999,58731,101669,37514
"Prince George",2000,58257,99397,36429
"Prince George",2001,58377,98474,35577
"Prince George",2002,49984,82743,29004
"Prince George",2003,39183,62370,20170
"Prince George",2004,34577,54181,16965
"Prince George",2005,32325,49750,15086
"Prince George",2006,31895,48133,13854
"Prince George",2007,32916,48751,13434
"Prince George",2008,35446,52397,14307
"Prince George",2009,41571,61722,17110
"Prince George",2010,44154,65973,18744
"Prince George",2011,43695,64186,17783
"Prince George",2012,40767,58598,15395
"Prince George",2013,40582,57733,14728
"Prince George",2014,39504,55806,13954
"Prince George",2015,39915,56472,14192
"Prince George",2016,43790,62213,16089
"Prince George",2017,45725,64629,16691
"Prince George",2018,47612,67312,17390
"Prince George",2019,49574,70183,18113
"Prince George",2020,53621,74494,18377
"Prince George",2021,54714,75742,18706
"Prince George",2022,57667,80707,20676
"Prince George",2023,59988,83694,21443
"Prince George",2024,62618,86632,21718
"Prince George",2025,27118,37573,9492
