"csdname","year","cases","recips","depchld"
"Prince Rupert",1995,16259,31815,12742
"Prince Rupert",1996,15191,29903,11949
"Prince Rupert",1997,15538,29818,11663
"Prince Rupert",1998,15715,29383,11120
"Prince Rupert",1999,13382,24890,9399
"Prince Rupert",2000,12355,23163,9011
"Prince Rupert",2001,12793,23299,8743
"Prince Rupert",2002,11656,21054,7868
"Prince Rupert",2003,9800,17677,6540
"Prince Rupert",2004,8761,15478,5522
"Prince Rupert",2005,8160,14069,4841
"Prince Rupert",2006,8595,14777,5024
"Prince Rupert",2007,8503,14851,5161
"Prince Rupert",2008,8887,15715,5610
"Prince Rupert",2009,9556,16336,5549
"Prince Rupert",2010,10196,17494,5898
"Prince Rupert",2011,10522,18075,6175
"Prince Rupert",2012,10335,17915,6226
"Prince Rupert",2013,9324,16429,5906
"Prince Rupert",2014,8663,15206,5470
"Prince Rupert",2015,8286,14702,5413
"Prince Rupert",2016,8420,14297,4947
"Prince Rupert",2017,8602,14429,4839
"Prince Rupert",2018,8734,14499,4894
"Prince Rupert",2019,8927,14550,4862
"Prince Rupert",2020,9060,14484,4760
"Prince Rupert",2021,8780,13581,4216
"Prince Rupert",2022,8953,13513,4013
"Prince Rupert",2023,9512,14072,4031
"Prince Rupert",2024,10103,14931,4359
"Prince Rupert",2025,4339,6425,1884
