"csdname","year","cases","recips","depchld"
"Quesnel",1995,12831,24214,9482
"Quesnel",1996,12338,23290,9103
"Quesnel",1997,11389,20926,7997
"Quesnel",1998,10848,19894,7510
"Quesnel",1999,10740,19739,7620
"Quesnel",2000,9794,17109,6228
"Quesnel",2001,9274,15590,5398
"Quesnel",2002,7922,13259,4517
"Quesnel",2003,6775,10704,3269
"Quesnel",2004,6129,9394,2722
"Quesnel",2005,6147,9409,2676
"Quesnel",2006,6018,9017,2458
"Quesnel",2007,6073,8955,2408
"Quesnel",2008,6268,9281,2492
"Quesnel",2009,7239,10560,2693
"Quesnel",2010,7664,11170,2907
"Quesnel",2011,7795,11653,3170
"Quesnel",2012,7687,11233,2873
"Quesnel",2013,7394,10596,2557
"Quesnel",2014,7503,10679,2493
"Quesnel",2015,7784,11280,2824
"Quesnel",2016,8377,12047,2974
"Quesnel",2017,8973,13134,3455
"Quesnel",2018,9293,13528,3623
"Quesnel",2019,9495,13711,3562
"Quesnel",2020,10107,14481,3723
"Quesnel",2021,10202,14223,3468
"Quesnel",2022,10919,15204,3697
"Quesnel",2023,11795,16400,3991
"Quesnel",2024,12987,17675,4049
"Quesnel",2025,5617,7546,1693
