"csdname","year","cases","recips","depchld"
"Saanich",1995,48855,81433,28033
"Saanich",1996,46670,77968,26822
"Saanich",1997,42283,67216,21556
"Saanich",1998,39360,60904,18676
"Saanich",1999,37140,55870,16258
"Saanich",2000,36412,53907,15286
"Saanich",2001,35307,51755,14525
"Saanich",2002,31136,44554,11797
"Saanich",2003,27015,36820,8561
"Saanich",2004,25522,33498,7009
"Saanich",2005,24752,31474,5844
"Saanich",2006,24194,30297,5238
"Saanich",2007,24455,30264,5067
"Saanich",2008,27160,33194,5198
"Saanich",2009,29232,35883,5612
"Saanich",2010,30148,36537,5343
"Saanich",2011,30481,37257,5716
"Saanich",2012,31975,38790,5902
"Saanich",2013,34771,42148,6338
"Saanich",2014,34787,42101,6181
"Saanich",2015,33148,40398,6116
"Saanich",2016,32884,40520,6573
"Saanich",2017,33235,41453,7107
"Saanich",2018,33727,42413,7492
"Saanich",2019,34769,43898,7932
"Saanich",2020,36499,46080,8363
"Saanich",2021,37078,46326,8077
"Saanich",2022,38873,48651,8531
"Saanich",2023,40431,50842,9090
"Saanich",2024,43117,54401,9790
"Saanich",2025,18551,23309,4096
