"csdname","year","cases","recips","depchld"
"Salmon Arm",1995,7936,14928,5831
"Salmon Arm",1996,8141,15193,5969
"Salmon Arm",1997,7936,14582,5464
"Salmon Arm",1998,7661,13652,5003
"Salmon Arm",1999,7951,13876,4911
"Salmon Arm",2000,8452,14603,5158
"Salmon Arm",2001,8373,14482,5168
"Salmon Arm",2002,7585,12679,4283
"Salmon Arm",2003,6640,10350,3010
"Salmon Arm",2004,6543,9560,2345
"Salmon Arm",2005,6574,9417,2215
"Salmon Arm",2006,6210,8688,1991
"Salmon Arm",2007,6510,8853,1894
"Salmon Arm",2008,6958,9341,1965
"Salmon Arm",2009,8029,10991,2490
"Salmon Arm",2010,8795,12295,2989
"Salmon Arm",2011,8946,12190,2726
"Salmon Arm",2012,8361,11282,2485
"Salmon Arm",2013,7949,10546,2192
"Salmon Arm",2014,7663,10047,2110
"Salmon Arm",2015,7712,10204,2170
"Salmon Arm",2016,7769,10098,1965
"Salmon Arm",2017,8206,10487,1925
"Salmon Arm",2018,8294,10610,1946
"Salmon Arm",2019,8466,10951,2142
"Salmon Arm",2020,8928,11522,2211
"Salmon Arm",2021,9029,11470,2133
"Salmon Arm",2022,9294,11816,2189
"Salmon Arm",2023,9823,12636,2474
"Salmon Arm",2024,10360,13256,2524
"Salmon Arm",2025,4604,5879,1103
