"csdname","year","cases","recips","depchld"
"Saltspring Island",1995,5101,9592,3889
"Saltspring Island",1996,5343,9905,3979
"Saltspring Island",1997,4839,8688,3360
"Saltspring Island",1998,4801,8095,2914
"Saltspring Island",1999,4570,7533,2600
"Saltspring Island",2000,4620,7703,2679
"Saltspring Island",2001,4487,7205,2446
"Saltspring Island",2002,3392,5240,1652
"Saltspring Island",2003,2615,3638,907
"Saltspring Island",2004,2404,3241,710
"Saltspring Island",2005,2382,3082,617
"Saltspring Island",2006,2314,2970,579
"Saltspring Island",2007,2510,3119,522
"Saltspring Island",2008,2824,3453,538
"Saltspring Island",2009,3058,3764,609
"Saltspring Island",2010,3362,4055,607
"Saltspring Island",2011,3355,4021,579
"Saltspring Island",2012,3304,4005,587
"Saltspring Island",2013,3399,4131,646
"Saltspring Island",2014,3466,4013,480
"Saltspring Island",2015,3498,4104,540
"Saltspring Island",2016,3608,4239,566
"Saltspring Island",2017,3545,4122,525
"Saltspring Island",2018,3614,4300,622
"Saltspring Island",2019,3756,4590,770
"Saltspring Island",2020,4101,5111,912
"Saltspring Island",2021,4028,4988,878
"Saltspring Island",2022,4620,5755,1027
"Saltspring Island",2023,4997,6149,1056
"Saltspring Island",2024,5452,6700,1129
"Saltspring Island",2025,2435,2966,485
