"csdname","year","cases","recips","depchld"
"Sidney",1995,4777,8617,3189
"Sidney",1996,4631,8123,2967
"Sidney",1997,3986,7007,2523
"Sidney",1998,3762,6324,2182
"Sidney",1999,3856,6394,2159
"Sidney",2000,3629,5747,1822
"Sidney",2001,3507,5429,1680
"Sidney",2002,2807,4243,1254
"Sidney",2003,2393,3381,878
"Sidney",2004,2023,2721,631
"Sidney",2005,1704,2297,532
"Sidney",2006,1604,2082,440
"Sidney",2007,1627,1943,282
"Sidney",2008,1752,2062,257
"Sidney",2009,2007,2362,279
"Sidney",2010,2166,2537,314
"Sidney",2011,2247,2691,402
"Sidney",2012,2105,2620,470
"Sidney",2013,2145,2760,579
"Sidney",2014,2283,2707,383
"Sidney",2015,2184,2491,281
"Sidney",2016,2415,2878,437
"Sidney",2017,2509,3034,463
"Sidney",2018,2407,2761,294
"Sidney",2019,2499,2876,312
"Sidney",2020,2633,3025,320
"Sidney",2021,2690,3210,424
"Sidney",2022,2829,3363,417
"Sidney",2023,2801,3205,312
"Sidney",2024,2976,3369,312
"Sidney",2025,1273,1456,146
