"csdname","year","cases","recips","depchld"
"Smithers",1995,3949,7128,2761
"Smithers",1996,3529,6409,2457
"Smithers",1997,3588,6381,2404
"Smithers",1998,3722,6578,2475
"Smithers",1999,3953,7182,2783
"Smithers",2000,4063,7371,2882
"Smithers",2001,4258,7527,2812
"Smithers",2002,4124,6904,2369
"Smithers",2003,3431,5839,2020
"Smithers",2004,3399,5876,2111
"Smithers",2005,3363,5516,1798
"Smithers",2006,3084,4905,1515
"Smithers",2007,2848,4295,1268
"Smithers",2008,2654,3889,1040
"Smithers",2009,2760,4190,1187
"Smithers",2010,3019,4505,1205
"Smithers",2011,2967,4318,1096
"Smithers",2012,2776,4089,1076
"Smithers",2013,2678,3876,967
"Smithers",2014,2603,3544,786
"Smithers",2015,2568,3508,790
"Smithers",2016,2746,3686,824
"Smithers",2017,2713,3738,895
"Smithers",2018,2601,3583,843
"Smithers",2019,2649,3659,880
"Smithers",2020,2770,3721,848
"Smithers",2021,2713,3666,857
"Smithers",2022,2855,3851,886
"Smithers",2023,3164,4128,873
"Smithers",2024,3408,4323,844
"Smithers",2025,1480,1853,341
