"csdname","year","cases","recips","depchld"
"Sooke",1995,7745,15229,6286
"Sooke",1996,8119,16051,6637
"Sooke",1997,7510,13885,5395
"Sooke",1998,6882,12342,4711
"Sooke",1999,6722,12210,4665
"Sooke",2000,6859,11974,4315
"Sooke",2001,6857,11449,3866
"Sooke",2002,5634,9261,3026
"Sooke",2003,4438,6721,1861
"Sooke",2004,3868,5743,1476
"Sooke",2005,3641,5229,1288
"Sooke",2006,3587,5031,1135
"Sooke",2007,3746,5080,1039
"Sooke",2008,3474,4773,1072
"Sooke",2009,4153,5612,1188
"Sooke",2010,4601,6209,1307
"Sooke",2011,4516,6297,1420
"Sooke",2012,4824,6736,1526
"Sooke",2013,5092,6912,1439
"Sooke",2014,5362,7213,1481
"Sooke",2015,5469,7258,1399
"Sooke",2016,6030,7936,1566
"Sooke",2017,6216,8133,1642
"Sooke",2018,6427,8507,1743
"Sooke",2019,6456,8424,1646
"Sooke",2020,6784,9087,1951
"Sooke",2021,6638,8902,1924
"Sooke",2022,7001,9390,2037
"Sooke",2023,7626,10195,2249
"Sooke",2024,8453,11347,2526
"Sooke",2025,3913,5340,1249
