"csdname","year","cases","recips","depchld"
"Squamish",1995,7243,13904,5761
"Squamish",1996,7051,13311,5382
"Squamish",1997,6535,11837,4586
"Squamish",1998,6710,11754,4431
"Squamish",1999,5992,10029,3571
"Squamish",2000,4883,8319,3028
"Squamish",2001,4722,7970,2868
"Squamish",2002,4360,6939,2229
"Squamish",2003,3618,5471,1568
"Squamish",2004,3482,5189,1492
"Squamish",2005,3247,4870,1460
"Squamish",2006,2872,4074,1073
"Squamish",2007,2953,4116,1044
"Squamish",2008,2993,3988,901
"Squamish",2009,3712,5016,1141
"Squamish",2010,4357,5767,1221
"Squamish",2011,5106,6824,1492
"Squamish",2012,5142,6714,1380
"Squamish",2013,5295,6806,1305
"Squamish",2014,5071,6337,1061
"Squamish",2015,4818,6090,1082
"Squamish",2016,4560,5659,934
"Squamish",2017,4553,5796,1070
"Squamish",2018,4615,6172,1368
"Squamish",2019,4849,6580,1537
"Squamish",2020,5229,7005,1563
"Squamish",2021,5168,6790,1441
"Squamish",2022,5396,7123,1549
"Squamish",2023,5825,7616,1607
"Squamish",2024,6395,8162,1638
"Squamish",2025,2818,3567,699
