"csdname","year","cases","recips","depchld"
"Summerland",1995,4241,8756,3779
"Summerland",1996,4444,9084,3932
"Summerland",1997,3860,7503,3038
"Summerland",1998,3453,6347,2406
"Summerland",1999,3137,5652,2105
"Summerland",2000,3083,5639,2229
"Summerland",2001,2955,4913,1670
"Summerland",2002,2586,4168,1320
"Summerland",2003,2060,3035,771
"Summerland",2004,1851,2652,600
"Summerland",2005,1720,2455,555
"Summerland",2006,1700,2257,411
"Summerland",2007,1856,2484,482
"Summerland",2008,1834,2594,613
"Summerland",2009,2052,2949,710
"Summerland",2010,2449,3446,783
"Summerland",2011,2567,3552,776
"Summerland",2012,2533,3525,788
"Summerland",2013,2668,3557,676
"Summerland",2014,2888,3777,658
"Summerland",2015,2953,3674,524
"Summerland",2016,3007,3884,637
"Summerland",2017,3089,3932,614
"Summerland",2018,3365,4171,606
"Summerland",2019,3480,4402,733
"Summerland",2020,3771,4852,866
"Summerland",2021,3852,4913,884
"Summerland",2022,4024,4973,762
"Summerland",2023,3967,4858,746
"Summerland",2024,4087,5041,808
"Summerland",2025,1797,2232,374
