"csdname","year","cases","recips","depchld"
"Surrey",1995,217738,398504,153305
"Surrey",1996,198745,373927,148916
"Surrey",1997,180449,333897,130272
"Surrey",1998,170105,313534,121568
"Surrey",1999,158644,290755,112428
"Surrey",2000,154106,278971,106859
"Surrey",2001,153207,272866,102144
"Surrey",2002,135100,234023,84238
"Surrey",2003,112441,185377,61660
"Surrey",2004,103300,163596,51259
"Surrey",2005,97736,148410,42917
"Surrey",2006,97445,143171,38041
"Surrey",2007,104800,151253,38587
"Surrey",2008,116594,166591,41559
"Surrey",2009,141331,202276,50702
"Surrey",2010,161372,230612,57780
"Surrey",2011,169703,242571,61229
"Surrey",2012,170306,243024,60865
"Surrey",2013,172891,245570,60479
"Surrey",2014,173291,245528,59762
"Surrey",2015,177390,249019,59073
"Surrey",2016,181963,257187,62193
"Surrey",2017,186196,269952,69192
"Surrey",2018,186473,270273,69198
"Surrey",2019,189686,275582,70646
"Surrey",2020,197769,287169,73876
"Surrey",2021,198610,289339,75003
"Surrey",2022,207658,304081,79408
"Surrey",2023,221496,329598,87940
"Surrey",2024,247334,376654,104095
"Surrey",2025,111303,171533,48234
