"csdname","year","cases","recips","depchld"
"Trail",1995,6971,12309,4505
"Trail",1996,6645,11404,3952
"Trail",1997,6660,11173,3757
"Trail",1998,6896,11284,3717
"Trail",1999,6920,10902,3449
"Trail",2000,6833,10587,3301
"Trail",2001,6533,9962,2983
"Trail",2002,5454,8348,2427
"Trail",2003,4797,6901,1714
"Trail",2004,4685,6400,1348
"Trail",2005,4837,6490,1310
"Trail",2006,4948,6408,1124
"Trail",2007,4994,6533,1157
"Trail",2008,5094,6559,1082
"Trail",2009,5570,7240,1268
"Trail",2010,5690,7472,1401
"Trail",2011,5758,7450,1339
"Trail",2012,5726,7400,1377
"Trail",2013,5570,7213,1328
"Trail",2014,5685,7208,1133
"Trail",2015,5797,7335,1129
"Trail",2016,6309,8274,1533
"Trail",2017,6301,8263,1604
"Trail",2018,6828,8671,1523
"Trail",2019,6809,8601,1525
"Trail",2020,7220,9053,1564
"Trail",2021,7076,8718,1434
"Trail",2022,7016,8655,1449
"Trail",2023,6945,8449,1315
"Trail",2024,7091,8732,1431
"Trail",2025,2967,3701,642
