"csdname","year","cases","recips","depchld"
"Tsinstikeptum 9",1995,3226,6376,2612
"Tsinstikeptum 9",1996,3083,6350,2792
"Tsinstikeptum 9",1997,2910,5835,2551
"Tsinstikeptum 9",1998,2751,5184,2065
"Tsinstikeptum 9",1999,2824,5403,2127
"Tsinstikeptum 9",2000,3038,5636,2102
"Tsinstikeptum 9",2001,3174,5911,2254
"Tsinstikeptum 9",2002,2719,4802,1716
"Tsinstikeptum 9",2003,2408,3976,1261
"Tsinstikeptum 9",2004,2356,3709,1101
"Tsinstikeptum 9",2005,2191,3286,869
"Tsinstikeptum 9",2006,2162,2921,541
"Tsinstikeptum 9",2007,2180,2960,584
"Tsinstikeptum 9",2008,2133,2835,544
"Tsinstikeptum 9",2009,2825,3786,755
"Tsinstikeptum 9",2010,3117,4305,952
"Tsinstikeptum 9",2011,3247,4534,1001
"Tsinstikeptum 9",2012,3167,4233,790
"Tsinstikeptum 9",2013,3024,3977,717
"Tsinstikeptum 9",2014,2876,3820,711
"Tsinstikeptum 9",2015,3089,3976,671
"Tsinstikeptum 9",2016,3470,4347,654
"Tsinstikeptum 9",2017,3417,4158,539
"Tsinstikeptum 9",2018,3418,4042,485
"Tsinstikeptum 9",2019,3702,4608,724
"Tsinstikeptum 9",2020,3797,4749,798
"Tsinstikeptum 9",2021,3964,5078,921
"Tsinstikeptum 9",2022,4312,5479,941
"Tsinstikeptum 9",2023,4504,5886,1132
"Tsinstikeptum 9",2024,4857,6426,1307
"Tsinstikeptum 9",2025,2197,2850,544
