"csdname","year","cases","recips","depchld"
"Vancouver",1995,542226,772350,187624
"Vancouver",1996,487057,712740,184950
"Vancouver",1997,454472,657008,165398
"Vancouver",1998,419539,603043,149953
"Vancouver",1999,380054,544396,135664
"Vancouver",2000,355518,502547,122447
"Vancouver",2001,346026,480230,111644
"Vancouver",2002,319721,434259,94951
"Vancouver",2003,285930,376296,75021
"Vancouver",2004,263084,336069,60236
"Vancouver",2005,245516,305174,49233
"Vancouver",2006,241539,292505,41600
"Vancouver",2007,246550,294485,38928
"Vancouver",2008,251582,298058,38104
"Vancouver",2009,269123,317745,39621
"Vancouver",2010,276956,326565,40743
"Vancouver",2011,279175,328030,40423
"Vancouver",2012,275670,323720,39648
"Vancouver",2013,275211,322510,39153
"Vancouver",2014,271311,316850,37595
"Vancouver",2015,270244,313303,35350
"Vancouver",2016,273896,317542,35967
"Vancouver",2017,275627,320685,37160
"Vancouver",2018,278821,324176,37696
"Vancouver",2019,284898,330612,37980
"Vancouver",2020,290356,336631,38490
"Vancouver",2021,288038,334737,38859
"Vancouver",2022,297300,346887,41125
"Vancouver",2023,306814,359150,42827
"Vancouver",2024,318534,372578,43937
"Vancouver",2025,135143,158396,18875
