"csdname","year","cases","recips","depchld"
"Vanderhoof",1995,3423,6911,2925
"Vanderhoof",1996,3268,6552,2751
"Vanderhoof",1997,3273,6375,2627
"Vanderhoof",1998,3543,6675,2668
"Vanderhoof",1999,3399,6224,2383
"Vanderhoof",2000,3034,5369,1989
"Vanderhoof",2001,3292,5910,2137
"Vanderhoof",2002,2963,5290,1912
"Vanderhoof",2003,2418,4097,1408
"Vanderhoof",2004,2245,3682,1161
"Vanderhoof",2005,2015,3253,989
"Vanderhoof",2006,1781,2801,821
"Vanderhoof",2007,1772,2732,785
"Vanderhoof",2008,1824,2734,727
"Vanderhoof",2009,2142,3299,922
"Vanderhoof",2010,2323,3443,952
"Vanderhoof",2011,2324,3482,990
"Vanderhoof",2012,1993,2928,782
"Vanderhoof",2013,1935,2808,718
"Vanderhoof",2014,2036,2886,685
"Vanderhoof",2015,2160,3076,756
"Vanderhoof",2016,2188,3109,802
"Vanderhoof",2017,2365,3335,877
"Vanderhoof",2018,2382,3542,1049
"Vanderhoof",2019,2655,4030,1245
"Vanderhoof",2020,2930,4235,1205
"Vanderhoof",2021,2936,4271,1179
"Vanderhoof",2022,2962,4333,1211
"Vanderhoof",2023,3054,4427,1227
"Vanderhoof",2024,3059,4408,1244
"Vanderhoof",2025,1303,1897,543
