"csdname","year","cases","recips","depchld"
"Vernon",1995,31877,58582,22664
"Vernon",1996,30696,56712,22121
"Vernon",1997,28206,50683,18946
"Vernon",1998,26033,45648,16668
"Vernon",1999,25069,43709,15930
"Vernon",2000,26202,44658,15719
"Vernon",2001,25933,43649,15049
"Vernon",2002,22861,37229,12066
"Vernon",2003,20766,32372,9678
"Vernon",2004,19219,29451,8448
"Vernon",2005,18128,26722,7145
"Vernon",2006,17433,24934,6112
"Vernon",2007,17089,23238,4865
"Vernon",2008,18124,24315,4936
"Vernon",2009,21824,29886,6499
"Vernon",2010,24243,33133,7159
"Vernon",2011,24701,34206,7633
"Vernon",2012,23989,33065,7422
"Vernon",2013,24584,34045,7734
"Vernon",2014,25321,34431,7460
"Vernon",2015,25931,35360,7804
"Vernon",2016,26791,36411,8122
"Vernon",2017,27236,36681,7983
"Vernon",2018,27584,36784,7693
"Vernon",2019,28978,38713,8111
"Vernon",2020,31012,41488,8852
"Vernon",2021,31935,42634,9012
"Vernon",2022,32790,43497,9086
"Vernon",2023,33527,44352,9218
"Vernon",2024,34892,45880,9404
"Vernon",2025,14694,19118,3802
