"csdname","year","cases","recips","depchld"
"Victoria",1995,93438,133949,33602
"Victoria",1996,83773,121554,31576
"Victoria",1997,77037,109788,27358
"Victoria",1998,71740,99054,22606
"Victoria",1999,67667,91982,20032
"Victoria",2000,66227,89574,19270
"Victoria",2001,64877,86881,18421
"Victoria",2002,57425,75583,15332
"Victoria",2003,48380,62834,12206
"Victoria",2004,46372,58857,10401
"Victoria",2005,45044,56309,9345
"Victoria",2006,42826,52325,7793
"Victoria",2007,45404,55094,7837
"Victoria",2008,45957,55678,7913
"Victoria",2009,49706,59787,8104
"Victoria",2010,51606,62039,8302
"Victoria",2011,52868,63203,8090
"Victoria",2012,51729,61238,7592
"Victoria",2013,50835,59871,7270
"Victoria",2014,50212,59217,7168
"Victoria",2015,52218,61462,7426
"Victoria",2016,53736,63291,7696
"Victoria",2017,54838,64914,8171
"Victoria",2018,56125,66968,8900
"Victoria",2019,57691,68713,9196
"Victoria",2020,59112,69982,9056
"Victoria",2021,60460,71528,9232
"Victoria",2022,62804,74553,9721
"Victoria",2023,64704,76901,10104
"Victoria",2024,67388,80346,10930
"Victoria",2025,29089,34628,4633
