"csdname","year","cases","recips","depchld"
"View Royal",1995,4127,7482,2964
"View Royal",1996,3934,7030,2719
"View Royal",1997,3401,5822,2146
"View Royal",1998,3207,5413,1930
"View Royal",1999,2981,4819,1624
"View Royal",2000,3047,4536,1250
"View Royal",2001,2809,4204,1176
"View Royal",2002,2307,3433,972
"View Royal",2003,2002,2713,606
"View Royal",2004,1675,2225,495
"View Royal",2005,1566,1941,340
"View Royal",2006,1629,2002,304
"View Royal",2007,1794,2063,194
"View Royal",2008,1977,2458,368
"View Royal",2009,2123,2591,362
"View Royal",2010,2082,2374,217
"View Royal",2011,2099,2394,216
"View Royal",2012,2333,2726,314
"View Royal",2013,2323,2628,209
"View Royal",2014,2460,2762,192
"View Royal",2015,2628,2988,264
"View Royal",2016,2602,2908,218
"View Royal",2017,3088,3504,324
"View Royal",2018,2935,3412,385
"View Royal",2019,2903,3410,376
"View Royal",2020,2882,3389,384
"View Royal",2021,3186,3711,397
"View Royal",2022,3404,3936,396
"View Royal",2023,3479,4068,468
"View Royal",2024,3590,4385,609
"View Royal",2025,1492,1811,246
