"csdname","year","cases","recips","depchld"
"West Kelowna",1995,8159,17729,8276
"West Kelowna",1996,7346,16067,7643
"West Kelowna",1997,6669,13367,5780
"West Kelowna",1998,6211,11859,4921
"West Kelowna",1999,6379,11973,4749
"West Kelowna",2000,6697,12418,4890
"West Kelowna",2001,6636,12084,4710
"West Kelowna",2002,5607,9895,3712
"West Kelowna",2003,4936,8414,2980
"West Kelowna",2004,4640,7639,2560
"West Kelowna",2005,4612,7335,2336
"West Kelowna",2006,4610,6855,1976
"West Kelowna",2007,4752,7003,2009
"West Kelowna",2008,5012,7252,1943
"West Kelowna",2009,6572,9618,2582
"West Kelowna",2010,7539,10840,2791
"West Kelowna",2011,7823,11258,2952
"West Kelowna",2012,7602,10609,2610
"West Kelowna",2013,7632,10676,2637
"West Kelowna",2014,7625,10129,2181
"West Kelowna",2015,7584,10133,2201
"West Kelowna",2016,8159,11222,2701
"West Kelowna",2017,8346,11353,2610
"West Kelowna",2018,8449,11523,2735
"West Kelowna",2019,9380,12893,3191
"West Kelowna",2020,10129,13952,3470
"West Kelowna",2021,10226,13626,3009
"West Kelowna",2022,11360,15103,3299
"West Kelowna",2023,12275,16388,3662
"West Kelowna",2024,13704,18073,3885
"West Kelowna",2025,6189,8204,1790
