"csdname","year","cases","recips","depchld"
"White Rock",1995,8705,12341,3080
"White Rock",1996,7254,10213,2516
"White Rock",1997,5488,7282,1486
"White Rock",1998,4753,6189,1210
"White Rock",1999,4597,6015,1152
"White Rock",2000,4676,6266,1355
"White Rock",2001,4525,5971,1255
"White Rock",2002,4032,5205,995
"White Rock",2003,3161,3881,558
"White Rock",2004,3209,3769,449
"White Rock",2005,3088,3629,435
"White Rock",2006,2952,3387,332
"White Rock",2007,2875,3275,307
"White Rock",2008,3180,3645,343
"White Rock",2009,3728,4271,432
"White Rock",2010,3985,4610,509
"White Rock",2011,4269,4836,448
"White Rock",2012,3995,4376,307
"White Rock",2013,4211,4620,315
"White Rock",2014,4407,4820,336
"White Rock",2015,4648,5148,409
"White Rock",2016,4951,5573,541
"White Rock",2017,5082,5794,625
"White Rock",2018,5258,6093,711
"White Rock",2019,5513,6405,772
"White Rock",2020,5768,6725,863
"White Rock",2021,5662,6597,833
"White Rock",2022,5664,6669,887
"White Rock",2023,5786,7105,1142
"White Rock",2024,6191,7741,1333
"White Rock",2025,2748,3437,595
