"csdname","year","cases","recips","depchld"
"Williams Lake",1995,11235,21330,8683
"Williams Lake",1996,10047,19252,7998
"Williams Lake",1997,8411,15614,6211
"Williams Lake",1998,8414,15403,5978
"Williams Lake",1999,8674,15205,5442
"Williams Lake",2000,8681,15051,5431
"Williams Lake",2001,9278,15906,5798
"Williams Lake",2002,7818,13568,4997
"Williams Lake",2003,6188,10709,3894
"Williams Lake",2004,5426,9106,3182
"Williams Lake",2005,5375,8868,2979
"Williams Lake",2006,5199,8145,2508
"Williams Lake",2007,5610,8642,2487
"Williams Lake",2008,5725,8826,2518
"Williams Lake",2009,7851,11911,3453
"Williams Lake",2010,8761,13223,3876
"Williams Lake",2011,9117,13703,3944
"Williams Lake",2012,8561,12820,3695
"Williams Lake",2013,8309,12534,3642
"Williams Lake",2014,8456,12591,3620
"Williams Lake",2015,8390,12131,3305
"Williams Lake",2016,8745,12972,3724
"Williams Lake",2017,8542,12680,3653
"Williams Lake",2018,8926,13210,3753
"Williams Lake",2019,9582,14436,4394
"Williams Lake",2020,10275,15395,4555
"Williams Lake",2021,9852,14355,4026
"Williams Lake",2022,10353,15573,4762
"Williams Lake",2023,10664,16171,5086
"Williams Lake",2024,10313,15471,4717
"Williams Lake",2025,4501,6598,1913
